StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,consent,Q3: search,Q4: queries_1,Q4: queries_2,Q4: queries_3,your behavior w/IP_1,you IP HS_1,you IP HS_2,you IP HS_3,you IP HS_4,you IP HS_5,you IP HS_6,you IP HS_7,Q95,user behavior IP_1,user IP HS_1,user IP HS_2,user IP HS_3,user IP HS_4,user IP HS_5,user IP HS_6,user IP HS_7,Q96,your behavior noIP_11,you no IP HS_1,you no IP HS_2,you no IP HS_3,you no IP HS_4,you no IP HS_5,you no IP HS_6,Q97,user behavior noIP_1,user no IP HS_1,user no IP HS_2,user no IP HS_3,user no IP HS_4,user no IP HS_5,user no IP HS_6,Q98,Q1: news freq_1,Q7: age,Q8: gender,Q8: gender_3_TEXT,Q9: politics,Q10: education,feedback,random id,condition,Create New Field or Choose From Dropdown...,queries_2 - Parent Topics,queries_2 - Sentiment Polarity,queries_2 - Sentiment Score,queries_2 - Sentiment,queries_2 - Topic Sentiment Label,queries_2 - Topic Sentiment Score,queries_2 - Topics,code
2021-12-21 18:41:52,2021-12-21 18:43:23,IP Address,100,90,True,2021-12-21 18:43:23,R_1Ky6Ze2Nk3s3h3m,anonymous,EN,Yes,No,qanon,jan 6,covid19,,,,,,,,,,7,Neutral,Like,Neutral,Neutral,Dislike,Neutral,Neutral,,,,,,,,,,,,,,,,,,7,30-39,Female,,Moderate/centrist,Associate's degree,,320080,2,,,0,0,Neutral,,,Unknown,
2022-01-24 13:47:39,2022-01-24 13:50:28,IP Address,100,169,True,2022-01-24 13:50:28,R_1mKt2FkMERHnNPE,anonymous,EN,Yes,Yes,911 planes,sandy hook,boston marathon,,,,,,,,,,,,,,,,,,,,,,,,,,,8,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,0,50-59,Male,,Hard left,High school,Didn't see where I was supposed to click before the final questions,401512,4,,,0,0,Neutral,,,Unknown,
2022-01-24 13:58:13,2022-01-24 14:00:06,IP Address,100,112,True,2022-01-24 14:00:06,R_2BeqpsF7vTIDgbD,anonymous,EN,Yes,No,qanon,government coverup,fake news,0,Neutral,Neutral,Neutral,Neutral,Like,Like,Like,,,,,,,,,,,,,,,,,,,,,,,,,,,0,30-39,Female,,Hard left,Bachelor's degree,,917190,1,,,0,0,Neutral,,,Unknown,
2022-01-24 13:58:54,2022-01-24 14:00:35,IP Address,100,100,True,2022-01-24 14:00:35,R_1gFKW4oI2VYU9k8,anonymous,EN,Yes,Yes,flat earth,reptillian,chips in vaccine,,,,,,,,,,7,Neutral,Neutral,Neutral,Neutral,Like,Neutral,Like,,,,,,,,,,,,,,,,,,5,30-39,Male,,Moderate/centrist,High school,Thanks,850091,2,,,0,0,Neutral,,,Unknown,
2022-01-24 14:27:40,2022-01-24 14:29:26,IP Address,100,105,True,2022-01-24 14:29:26,R_2v8HVfDiKVaH44o,anonymous,EN,Yes,No,what really happened,fake news,cover up,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Neutral,Like,Dislike,Dislike,Like,Like,,3,30-39,Male,,Lean left,Bachelor's degree,,575008,4,,,0,-1,Negative,,,Unknown,
2022-01-24 14:45:44,2022-01-24 14:48:14,IP Address,100,150,True,2022-01-24 14:48:14,R_2bN8HYc2H4LYODB,anonymous,EN,Yes,No,anti vaxx,stolen election,JFK,,,,,,,,,,,,,,,,,,,1,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,,,,,,,,,0,60+,Male,,Lean left,High school,,755401,3,,,0,-1,Negative,,,Unknown,
2022-01-24 14:51:40,2022-01-24 14:54:23,IP Address,100,162,True,2022-01-24 14:54:23,R_3fkoHOoAjsZFAgI,anonymous,EN,Yes,Yes,Illuminati,Agenda 2030,Aliens,10,Neutral,Neutral,Like,Neutral,Neutral,Like,Like,,,,,,,,,,,,,,,,,,,,,,,,,,,8,40-49,Male,,Lean right,Bachelor's degree,A3FGT6EU39C6S4,912269,1,,,0,0,Neutral,,,Unknown,
2022-01-24 15:26:18,2022-01-24 15:29:37,IP Address,100,198,True,2022-01-24 15:29:37,R_Z4evckDy8H7sOmB,anonymous,EN,Yes,Yes,flat earth stars,flu disappeared,remvesidir,0,Neutral,Like,Dislike,Dislike,Dislike,Dislike,Dislike,,,,,,,,,,,,,,,,,,,,,,,,,,,1,60+,Female,,Prefer not to say,Bachelor's degree,,933474,1,,,0,0,Neutral,,,Unknown,
2022-01-24 16:13:35,2022-01-24 16:16:21,IP Address,100,165,True,2022-01-24 16:16:21,R_1BXyVDPaJhfi2H7,anonymous,EN,Yes,No,fake moon landing,9/11 inside job,jfk assassination conspiracy,,,,,,,,,,,,,,,,,,,0,Neutral,Dislike,Dislike,Dislike,Like,Like,,,,,,,,,,0,30-39,Male,,Hard left,Bachelor's degree,thanks,777975,3,,,0,0,Neutral,,,Unknown,
2022-01-29 13:59:32,2022-01-29 14:03:35,IP Address,100,242,True,2022-01-29 14:03:35,R_AbabWBpiVoI1X6p,anonymous,EN,Yes,No,"bermuda theories ",alien abductions,atlantis,4,Dislike,Like,Dislike,Dislike,Like,Dislike,Like,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,0,30-39,Female,,Moderate/centrist,High school,,191153,1,,,0,0,Neutral,,,Unknown,
2022-01-29 13:59:36,2022-01-29 14:03:36,IP Address,100,240,True,2022-01-29 14:03:36,R_22ranMLBrSkbVJO,anonymous,EN,Yes,Yes,New World Order,One World Government,Fake Moon Landing,8,Neutral,Like,Neutral,Neutral,Dislike,Neutral,Like,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,4,40-49,Male,,Lean right,"Graduate degree (M.D., J.D., PhD, etc.)",,610115,1,,,0,0,Neutral,,,Unknown,
2022-01-29 14:03:25,2022-01-29 14:06:23,IP Address,100,177,True,2022-01-29 14:06:23,R_3O7AlOEdzUAEHcc,anonymous,EN,Yes,Yes,"9-11 attack ","Kennedy shooting ","Covid vaccinations ",,,,,,,,,,4,Neutral,Neutral,Neutral,Neutral,Dislike,Neutral,Neutral,,,,,,,,,,,,,,,,,,0,50-59,Female,,Hard left,High school,,206589,2,,,0,0,Neutral,,,Unknown,
2022-01-29 14:12:07,2022-01-29 14:15:48,IP Address,100,221,True,2022-01-29 14:15:49,R_1FgkG8xKzb871Ox,anonymous,EN,Yes,No,UFO coverup,faked moon landing,JFK's assassination,,,,,,,,,,,,,,,,,,,,,,,,,,,7,Dislike,Like,Like,Dislike,Like,Dislike,,3,30-39,Male,,Lean right,Bachelor's degree,,396811,4,,,0,-1,Negative,,,Unknown,
2022-01-29 14:25:32,2022-01-29 14:29:33,IP Address,100,241,True,2022-01-29 14:29:34,R_3hxxtTG8P2L1OQ0,anonymous,EN,Yes,Yes,kennedy assassination,911 truth,roswell,,,,,,,,,,,,,,,,,,,,,,,,,,,8,Neutral,Like,Neutral,Neutral,Dislike,Like,,10,50-59,Male,,Lean left,High school,,766427,4,,,0,0,Neutral,,,Unknown,
2022-01-29 14:23:03,2022-01-29 14:31:53,IP Address,100,530,True,2022-01-29 14:31:53,R_2uZAwk6q5Z02sRj,anonymous,EN,Yes,Yes,jimmy hoffa death,aliens working as CIA,illuminati,,,,,,,,,,,,,,,,,,,,,,,,,,,10,Neutral,Like,Neutral,Neutral,Like,Like,,10,30-39,Female,,Hard left,High school,,995045,4,,,0,0,Neutral,,,Unknown,
2022-01-29 15:39:36,2022-01-29 15:42:30,IP Address,100,173,True,2022-01-29 15:42:30,R_2EAVM7gCVK42AYV,anonymous,EN,Yes,No,JFK's assisination,Aliens and UFOs,Moon Landing Fake,,,,,,,,,,6,Neutral,Like,Neutral,Neutral,Like,Like,Neutral,,,,,,,,,,,,,,,,,,0,30-39,Female,,Moderate/centrist,Bachelor's degree,,272511,2,,,0,0,Neutral,,,Unknown,
2022-01-29 16:01:15,2022-01-29 16:03:58,IP Address,100,163,True,2022-01-29 16:03:59,R_1pnh87E4wxQsavM,anonymous,EN,Yes,Yes,who killed JFK?,are aliens real?,who is behind bitcoin?,,,,,,,,,,9,Neutral,Neutral,Neutral,Neutral,Like,Like,Like,,,,,,,,,,,,,,,,,,8,40-49,Male,,Hard right,"Graduate degree (M.D., J.D., PhD, etc.)",,260645,2,,,0,0,Neutral,,,Unknown,
2022-01-31 14:23:03,2022-01-31 14:28:08,IP Address,100,305,True,2022-01-31 14:28:09,R_1gT4iUI1XBJ7Usx,anonymous,EN,Yes,No,conspiracies,illumninati,secrets,0,Neutral,Like,Neutral,Neutral,Like,Neutral,Like,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,0,40-49,Male,,Moderate/centrist,High school,,325320,1,,,0,0,Neutral,,,Unknown,
2022-01-31 14:36:36,2022-01-31 14:41:35,IP Address,100,299,True,2022-01-31 14:41:35,R_QmnEerLAWApE8RH,anonymous,EN,Yes,Yes,"was 9/11 orchestrated ",is the government behind 9/11,did the government knock down the twin towers,,,,,,,,,,,,,,,,,,,9,Neutral,Like,Neutral,Like,Neutral,Like,Yes,,,,,,,,,7,30-39,Female,,Hard left,"Graduate degree (M.D., J.D., PhD, etc.)",,735397,3,,,0,0,Neutral,,,Unknown,
2022-01-31 14:41:38,2022-01-31 14:45:04,IP Address,100,206,True,2022-01-31 14:45:04,R_2ZNZSc1XZ1J0rLe,anonymous,EN,Yes,Yes,mandela effect,9/11 real or fake,coronavirus came from lab,,,,,,,,,,,,,,,,,,,8,Neutral,Like,Neutral,Neutral,Like,Like,Yes,,,,,,,,,1,40-49,Female,,Lean right,High school,,710646,3,,,0,0,Neutral,,,Unknown,
2022-01-31 14:45:43,2022-01-31 14:47:18,IP Address,100,94,True,2022-01-31 14:47:19,R_2wakZjqGo3AgXjr,anonymous,EN,Yes,Yes,david icke,reptilians,illuminati,4,Neutral,Like,Neutral,Neutral,Like,Neutral,Like,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,4,30-39,Female,,Lean left,Associate's degree,,493068,1,,,0,0,Neutral,,,Unknown,
2022-01-31 15:00:15,2022-01-31 15:03:42,IP Address,100,206,True,2022-01-31 15:03:42,R_3lPvsEeJEjHTKv2,anonymous,EN,Yes,Yes,jfk,moon landing,aliens,0,Dislike,Like,Dislike,Neutral,Like,Dislike,Dislike,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,1,30-39,Male,,Hard left,Associate's degree,,440076,1,,,0,0,Neutral,,,Unknown,
2022-01-31 16:21:00,2022-01-31 16:22:35,IP Address,100,95,True,2022-01-31 16:22:36,R_1q9Su7aTbEFmVYP,anonymous,EN,Yes,No,JFK assassination,flat earth,moon landing,0,Neutral,Neutral,Neutral,Neutral,Like,Like,Like,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,2,30-39,Male,,Hard left,Associate's degree,,515763,1,,,0,0,Neutral,,,Unknown,
2022-01-31 16:27:24,2022-01-31 16:29:10,IP Address,100,105,True,2022-01-31 16:29:10,R_1LHT2DK8hKBzM0K,anonymous,EN,Yes,Yes,what is it really when planes fly in the air,What kind of chemicals are being put in our food,how are hot dogs really made,7,Neutral,Like,Neutral,Neutral,Dislike,Neutral,Neutral,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,9,30-39,Female,,Moderate/centrist,Bachelor's degree,fun survey,930060,1,,,0,-1,Negative,,,Unknown,
2022-02-05 09:46:37,2022-02-05 09:50:09,IP Address,100,212,True,2022-02-05 09:50:09,R_21FdDFcxecp8LO7,anonymous,EN,Yes,Yes,did we really land on the moon,are aliens real,did the government supply crack to America,,,,,,,,,,,,,,,,,,,8,Neutral,Dislike,Neutral,Neutral,Dislike,Dislike,Yes,,,,,,,,,2,40-49,Female,,Moderate/centrist,Bachelor's degree,"everything worked as intended ",833992,3,,,0,0,Neutral,,,Unknown,
2022-02-05 09:54:07,2022-02-05 09:56:55,IP Address,100,167,True,2022-02-05 09:56:55,R_3npBiEZQMPY7CLO,anonymous,EN,Yes,Yes,covid vaccine nanobots,JFK assassination conspiracy,fake moon landing,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Dislike,Like,Like,Dislike,Dislike,Like,Yes,3,40-49,Male,,Lean left,Bachelor's degree,I didn't have any problems.,814615,4,,,0,0,Neutral,,,Unknown,
2022-02-05 09:52:41,2022-02-05 09:57:04,IP Address,100,262,True,2022-02-05 09:57:04,R_3dG78OLHBGYWB1y,anonymous,EN,Yes,Yes,moon landing hoax,building 7 twin towers,magic bullet theory,2,Dislike,Dislike,Like,Dislike,Like,Like,Like,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,3,50-59,Male,,Moderate/centrist,Bachelor's degree,,928688,1,,,0,0,Neutral,,,Unknown,
